4A (J)	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	00110000	00000000	11110000	00000000	11100000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
4B (K)	11000000	11000000	11000001	10000000	11000011	00000000	11000110	00000000	11001100	00000000	11011000	00000000	11111000	00000000	11111000	00000000	11101100	00000000	11000110	00000000	11000011	00000000	11000001	10000000	11000000	11000000	00000000	00000000	00000000	00000000	00000000	00000000
4C (L)	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11111111	10000000	11111111	10000000	00000000	00000000	00000000	00000000	00000000	00000000
4D (M)	11100000	00111000	11100000	00111000	11110000	01111000	11110000	01111000	11110000	01111000	11011000	11011000	11011000	11011000	11011000	11011000	11001101	10011000	11001101	10011000	11001111	10011000	11000111	00011000	11000111	00011000	00000000	00000000	00000000	00000000	00000000	00000000
4E (N)	11110000	01100000	11110000	01100000	11011000	01100000	11011000	01100000	11011100	01100000	11001100	01100000	11001110	01100000	11000110	01100000	11000111	01100000	11000011	01100000	11000011	11100000	11000001	11100000	11000001	11100000	00000000	00000000	00000000	00000000	00000000	00000000
4F (O)	00011111	00000000	00111111	10000000	01110001	11000000	01100000	11000000	11000000	01100000	11000000	01100000	11000000	01100000	11000000	01100000	11000000	01100000	01100000	11000000	01110001	11000000	00111111	10000000	00011111	00000000	00000000	00000000	00000000	00000000	00000000	00000000
50 (P)	11111110	00000000	11111111	00000000	11000011	10000000	11000001	10000000	11000001	10000000	11000011	10000000	11111111	00000000	11111110	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	11000000	00000000	00000000	00000000	00000000	00000000	00000000	00000000
51 (Q)	00001111	10000000	00111111	11000000	01110000	11100000	01100000	01100000	11000000	00110000	11000000	00110000	11000000	00110000	11000000	00110000	11000000	00110000	01100000	01100000	01110000	11100000	00111111	11100000	00011111	01110000	00000000	00100000	00000000	00000000	00000000	00000000
52 (R)	11111110	00000000	11111111	00000000	11000011	10000000	11000001	10000000	11000001	10000000	11000011	00000000	11111111	00000000	11111111	10000000	11000011	10000000	11000001	10000000	11000001	10000000	11000001	10000000	11000001	10000000	00000000	00000000	00000000	00000000	00000000	00000000
53 (S)	00111111	00000000	01111111	10000000	11100001	10000000	11000000	11000000	11000000	00000000	11111111	00000000	01111111	10000000	00000001	11000000	00000000	11000000	11000000	11000000	11100001	11000000	01111111	10000000	00111111	00000000	00000000	00000000	00000000	00000000	00000000	00000000
